NAME,DATE,AWND,PRCP,TMAX,TMIN
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-03-2016,10.29,0,68,33
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-03-2016,9.84,0,71,51
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-03-2016,11.18,0,74,49
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-03-2016,9.4,0.4,65,53
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-03-2016,5.82,0.11,55,41
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-03-2016,4.03,0,68,39
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-03-2016,7.83,0.32,59,49
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-03-2016,9.17,0.23,69,49
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-03-2016,4.7,0.02,61,49
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-03-2016,11.86,0.01,70,50
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",17-03-2016,11.41,0,59,44
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",18-03-2016,11.63,0,59,36
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",19-03-2016,4.25,0.05,40,33
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",20-03-2016,5.14,0.08,38,31
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",21-03-2016,8.28,0,42,26
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",22-03-2016,10.74,0,60,29
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",23-03-2016,11.41,0,69,52
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",24-03-2016,13.42,0.05,74,50
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",25-03-2016,9.4,0.11,60,34
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",26-03-2016,3.58,0,60,32
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",27-03-2016,8.95,0,75,42
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",28-03-2016,15.21,0.38,58,40
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",29-03-2016,8.72,0,52,35
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",30-03-2016,9.84,0,68,31
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",31-03-2016,12.97,0,71,58
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-04-2016,13.2,0.01,67,45
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-04-2016,18.34,0.14,53,31
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-04-2016,12.3,0,47,25
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-04-2016,14.76,0.23,55,27
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-04-2016,6.04,0,43,22
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",06-04-2016,12.3,0,66,28
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-04-2016,15.21,0.32,53,34
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-04-2016,12.3,0.01,45,31
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-04-2016,13.2,0.07,34,23
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-04-2016,7.16,0.01,52,21
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-04-2016,12.75,0.55,65,49
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-04-2016,9.17,0.04,51,34
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-04-2016,4.92,0,57,30
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-04-2016,4.92,0,67,37
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-04-2016,7.16,0,70,43
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-04-2016,3.58,0,74,47
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",17-04-2016,4.7,0,81,50
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",18-04-2016,4.92,0,81,54
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",19-04-2016,8.5,0,74,53
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",20-04-2016,6.93,0,74,48
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",21-04-2016,6.49,0,74,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",22-04-2016,5.37,0.55,68,55
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",23-04-2016,10.29,0,62,45
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",24-04-2016,3.8,0,69,40
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",25-04-2016,7.16,0,79,46
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",26-04-2016,11.41,0.15,76,52
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",27-04-2016,4.92,0,65,47
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",28-04-2016,5.37,0.37,56,46
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",29-04-2016,5.37,0,57,45
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",30-04-2016,4.47,0.17,66,46
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-05-2016,7.16,0.22,72,53
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-05-2016,8.05,0.06,69,52
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-05-2016,4.7,0,64,48
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-05-2016,3.8,0.15,63,48
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-05-2016,6.71,0.14,63,47
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",06-05-2016,9.17,0.06,67,48
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-05-2016,5.82,0,71,46
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-05-2016,9.4,0.01,65,46
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-05-2016,6.71,0,56,46
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-05-2016,5.82,0.46,69,50
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-05-2016,2.91,0,74,55
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-05-2016,5.82,0.14,78,55
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-05-2016,10.51,0.18,69,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-05-2016,10.29,0.39,56,41
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-05-2016,11.63,0,50,38
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-05-2016,7.61,0,62,36
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",17-05-2016,2.68,0,62,48
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",18-05-2016,4.92,0.31,56,48
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",19-05-2016,3.8,0,69,42
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",20-05-2016,6.26,0.04,72,47
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",21-05-2016,5.82,1.23,57,51
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",22-05-2016,4.92,0.16,62,50
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",23-05-2016,4.7,0.01,76,50
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",24-05-2016,7.16,0,79,50
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",25-05-2016,7.16,0,81,55
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",26-05-2016,9.17,0,81,65
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",27-05-2016,7.61,0,86,66
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",28-05-2016,6.04,0,87,66
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",29-05-2016,3.8,2.32,82,63
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",30-05-2016,4.92,0,82,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",31-05-2016,2.68,0,85,60
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-06-2016,6.26,0,87,63
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-06-2016,5.82,0.09,82,69
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-06-2016,4.25,0.4,82,66
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-06-2016,4.03,0,79,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-06-2016,10.51,0.22,75,64
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",06-06-2016,9.84,0.58,78,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-06-2016,8.5,0,71,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-06-2016,10.29,0,64,50
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-06-2016,7.61,0,71,51
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-06-2016,4.25,0,81,57
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-06-2016,12.3,0.01,88,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-06-2016,11.63,0,79,58
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-06-2016,5.82,0,76,52
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-06-2016,3.8,0,79,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-06-2016,4.92,0.35,85,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-06-2016,6.49,1.39,77,66
